year,CO2_Emissions_MT
1953,105.8210088951049
1954,107.81752555555555
1955,114.51668605405405
1956,121.05873213422818
1957,122.53281378947368
1958,121.07692637974684
1959,114.77790770527365
1960,120.63525324865674
1961,121.6168426309406
1962,125.78779648014705
1963,132.42416002941468
1964,137.99193917764427
1965,144.17764435879806
1966,151.03005440466342
1967,156.19418512317307
1968,165.30034597144925
1969,174.63597648706724
1970,182.1684297640187
1971,188.62753596265114
1972,195.3300809753703
1973,206.0903988748148
1974,206.87177321671302
1975,206.16179246185186
1976,218.18009513050933
1977,224.37868967666668
1978,227.99263968921295
1979,239.5857161150926
1980,238.21419688652787
1981,229.07431627174316
1982,227.52189061577988
1983,227.02213046889904
1984,235.46419026069117
1985,242.96865180986165
1986,249.13823386917056
1987,254.27887916009175
1988,263.12851809876145
1989,268.2467709090367
1990,261.433524439375
1991,262.08381982919997
1992,255.88804236999997
1993,255.15284991694693
1994,256.61600638823796
1995,261.2721003576651
1996,266.9251804946256
1997,270.24972593982375
1998,270.7289011996916
1999,270.9315497097357
2000,278.15895810850213
2001,283.0929745192105
2002,285.52428692799117
2003,299.5584439931878
2004,312.7047848919649
2005,322.81620916310055
2006,333.26105072506545
2007,337.8148934886521
2008,348.9496940610481
2009,343.55028343921373
2010,359.74275921558956
2011,372.24283815611363
2012,385.1146459006668
2013,386.6997624425777
2014,389.426494782889
2015,394.98444999261255
